Date,Time,Time Zone,Water Temperature (°C),Specific Conductance (?S/cm),Dissolved Oxygen (mg/L),pH,Turbidity (FNU),Chlorophyll (RFU),Phycocyanin (RFU),fDOM(ppb QSE),Latitude,Longitude
7/15/2019,10:41:35,EDT,30.19,535.1,4.84,7.58,2.09,3.08,0.26,305.7,26.7229,-81.7246
7/15/2019,10:41:40,EDT,30.17,535.2,4.82,7.58,1.96,2.98,0.26,304.9,26.7229,-81.7248
7/15/2019,10:41:45,EDT,30.15,535.2,4.78,7.57,1.86,2.92,0.26,305.1,26.7227,-81.7257
7/15/2019,10:41:50,EDT,30.11,535.2,4.71,7.57,1.81,2.84,0.23,306.1,26.7227,-81.7259
7/15/2019,10:41:55,EDT,30.07,535.3,4.61,7.57,1.76,2.82,0.23,307.3,26.7225,-81.7265
7/15/2019,10:42:00,EDT,30.08,535.4,4.55,7.56,1.76,2.8,0.21,308.4,26.7224,-81.7272
7/15/2019,10:42:05,EDT,30.11,535.6,4.54,7.56,1.74,2.87,0.2,309.4,26.7224,-81.7277
7/15/2019,10:42:10,EDT,30.1,535.7,4.55,7.56,1.75,2.86,0.21,310.5,26.7222,-81.7283
7/15/2019,10:42:15,EDT,30.07,535.6,4.54,7.56,1.72,2.84,0.21,311.5,26.7221,-81.729
7/15/2019,10:42:20,EDT,30.03,535.2,4.48,7.55,1.72,2.79,0.24,312.8,26.722,-81.7295
7/15/2019,10:42:25,EDT,30.02,534.7,4.42,7.55,2.72,2.71,0.23,312.7,26.7219,-81.7299
7/15/2019,10:42:30,EDT,30.03,534.4,4.43,7.55,3.46,2.49,0.24,271.7,26.7219,-81.7306
7/15/2019,10:42:35,EDT,30.05,534.3,4.5,7.55,4.04,2.38,0.2,264.6,26.7218,-81.7313
7/15/2019,10:42:45,EDT,30.13,534.4,4.64,7.55,2.95,2.39,0.23,228.4,26.7217,-81.7325
7/15/2019,10:42:50,EDT,30.15,534.5,4.67,7.55,2.57,2.28,0.27,228.3,26.7216,-81.733
7/15/2019,10:42:55,EDT,30.16,534.6,4.68,7.55,2.35,2.27,0.28,228.4,26.7215,-81.7335
7/15/2019,10:43:00,EDT,30.17,534.6,4.67,7.55,2.2,2.33,0.24,228.8,26.7214,-81.7342
